area,Htr1b,Htr1d,Htr2a,Htr3a,Htr7,Adra1a,Adra1b,Drd1,Drd2,Drd3,Drd5
RSPagl,0.22444444444444445,0.18222222222222223,0.6311111111111111,0.13333333333333333,0.31777777777777777,0.44666666666666666,0.4911111111111111,0.35333333333333333,0.3111111111111111,0.19111111111111112,0.15333333333333332
RSPd,0.26506024096385544,0.13253012048192772,0.6454388984509466,0.10154905335628227,0.35111876075731496,0.40963855421686746,0.5542168674698795,0.41480206540447506,0.36660929432013767,0.1944922547332186,0.16523235800344235
RSPv,0.1794228356336261,0.07779171894604768,0.5947302383939774,0.07528230865746549,0.2659974905897114,0.2810539523212045,0.4868255959849435,0.28732747804265996,0.4027603513174404,0.15809284818067754,0.11668757841907151
ECT,0.2876712328767123,0.17465753424657535,0.660958904109589,0.13013698630136986,0.4349315068493151,0.4178082191780822,0.4349315068493151,0.4178082191780822,0.3013698630136986,0.17465753424657535,0.1541095890410959
PERI,0.3116883116883117,0.16883116883116883,0.7792207792207793,0.15584415584415584,0.5324675324675324,0.4675324675324675,0.4675324675324675,0.45454545454545453,0.15584415584415584,0.2077922077922078,0.12987012987012986
TEa,0.2605905006418485,0.17458279845956354,0.6803594351732991,0.11296534017971759,0.41335044929396664,0.4030808729139923,0.5006418485237484,0.40436456996148906,0.2901155327342747,0.1797175866495507,0.15917843388960207
GU,0.3018867924528302,0.2560646900269542,0.6846361185983828,0.12129380053908356,0.3477088948787062,0.41778975741239893,0.5256064690026954,0.5202156334231806,0.3692722371967655,0.13746630727762804,0.24258760107816713
VISC,0.2709832134292566,0.1750599520383693,0.5779376498800959,0.1223021582733813,0.31894484412470026,0.3932853717026379,0.40047961630695444,0.4844124700239808,0.3117505995203837,0.18705035971223022,0.18465227817745802
AId,0.3522906793048973,0.18325434439178515,0.6872037914691943,0.1358609794628752,0.31121642969984203,0.4549763033175355,0.5924170616113744,0.49921011058451814,0.37756714060031593,0.18641390205371247,0.21169036334913113
AIp,0.2736156351791531,0.2671009771986971,0.6872964169381107,0.1237785016286645,0.4560260586319218,0.3941368078175896,0.36482084690553745,0.4560260586319218,0.36807817589576547,0.16938110749185667,0.18892508143322476
