cell_label,Htr1b,Htr1d,Htr2a,Htr3a,Htr7,Adra1a,Adra1b,Drd1,Drd2,Drd3,Drd5
1017155956102510553-1,0.0,0.0,0.8536858387653213,0.0,0.0,1.774559660100547,3.1812805209656365,0.8536858387653213,0.0,0.0,0.0
1017155956102510622-1,0.7170524767496982,0.0,2.0769355661540683,0.0,1.193860246159315,0.7170524767496982,1.5516196162686966,0.7170524767496982,0.0,0.0,0.0
1017155956102350455,0.0,0.0,3.038930063398091,0.0,0.0,0.0,4.251494356842288,0.0,0.0,2.2045810171001694,1.4878481466163984
1017155956101220440-2,0.0,0.0,3.0583840279324974,0.0,0.0,0.0,1.3022184241265942,1.3022184241265942,0.0,1.3022184241265942,0.0
1017155956102450022,0.0,0.0,1.482437464925416,0.676328863319082,0.676328863319082,1.1349674935257608,1.482437464925416,1.7622519757090773,0.0,0.0,0.0
1017155956102050681,0.0,0.7602359852977012,2.1598998368080364,0.0,0.0,0.7602359852977012,1.2555220709198835,2.1598998368080364,0.0,0.0,0.0
1017155956101020594-1,0.0,0.0,1.4588078460377136,0.0,0.0,0.906433188741088,1.4588078460377136,0.906433188741088,0.0,0.0,0.0
1017155956101760302-1,0.0,0.0,2.825961298459653,0.0,1.5994548150444845,0.0,0.7456784405657891,2.132186253638417,0.0,0.0,0.0
1017155956201020580,0.0,0.0,3.5524886711923886,0.0,0.0,2.1946027031891817,0.0,0.0,0.0,0.0,0.0
1017155956101970437-2,0.0,0.0,3.0573659969620577,0.0,0.0,0.7928148570911028,1.301530722905717,2.4315449330549983,0.0,0.0,0.0
1017155956101960234-1,0.0,0.0,1.4816001980213982,0.0,0.0,1.4816001980213982,0.9231807815444371,1.4816001980213982,0.0,0.0,0.9231807815444371
1017155956102470469-2,0.8738380165816203,0.0,2.114409037997513,0.8738380165816203,0.8738380165816203,0.0,2.114409037997513,0.0,0.8738380165816203,0.0,0.0
1017155956102720419,0.6897491700432794,0.0,1.5053875049130616,0.0,0.0,0.0,1.1544575513391993,1.1544575513391993,1.1544575513391993,0.6897491700432794,0.0
1017155956101420619,1.0876688369322018,0.0,0.0,0.0,0.0,0.6439962700384881,0.0,1.0876688369322018,0.0,0.0,0.0
1017155956102510521-1,1.2389175503803658,0.7485530289652752,0.7485530289652752,0.0,0.0,0.0,0.7485530289652752,1.2389175503803658,2.8320721717146147,0.0,0.0
