cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure
1018093344102890404-1,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344102900448-2,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344102900454-2,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344102900694,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344100490479-7,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344202900473,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344100630083-4,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344102900628-1,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344100490455-6,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344100630064-3,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344100480505-6,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344100640098-6,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344102900480-2,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344102900733,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344100480509-3,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344102900439-2,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344102900604,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344102900467-2,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344100630055-3,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344100630097-2,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344103060086-1,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344100480502-4,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344100490541-6,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344100630105-5,114 COAa-PAA-MEA Barhl2 Glut,0513 COAa-PAA-MEA Barhl2 Glut_5,13 CNU-HYa Glut,Glut,EPd,EPd
1018093344100630136-4,114 COAa-PAA-MEA Barhl2 Glut,0514 COAa-PAA-MEA Barhl2 Glut_6,13 CNU-HYa Glut,Glut,EPd,EPd
1018093344100630066-4,027 L6b EPd Glut,0104 L6b EPd Glut_2,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490524-7,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344103050058-1,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490340-6,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344103060108-1,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100630049-2,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490353-6,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344102900697,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490444-4,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490477-7,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344103060189-1,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490449-5,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
