region,subclass,n_cells,mean_expr,frac_expr
PAL,IA Mgp Gaba,96,0.466958765625,0.07291666666666667
PAL,IT AON-TT-DP Glut,29,4.707857244827586,0.7586206896551724
PAL,L2/3 IT PIR-ENTl Glut,41,6.676252685365855,0.9024390243902439
PAL,LGv-ZI Otx2 Gaba,36,0.3129485861111111,0.05555555555555555
PAL,LHA Barhl2 Glut,167,0.5030780634730538,0.08982035928143713
PAL,LHA-AHN-PVH Otp Trh Glut,144,0.8020050118055555,0.1527777777777778
PAL,LHA-MEA Otp Glut,82,0.3064249658536585,0.06097560975609756
PAL,LSX Nkx2-1 Gaba,300,0.17559910733333334,0.03
PAL,LSX Otx2 Gaba,306,0.35624081633986926,0.06209150326797386
PAL,LSX Prdm12 Slit2 Gaba,119,0.49590492268907566,0.08403361344537816
PAL,LSX Prdm12 Zeb2 Gaba,59,1.4075087644067796,0.23728813559322035
PAL,LSX Sall3 Lmo1 Gaba,84,1.482847944047619,0.2261904761904762
PAL,LSX Sall3 Pax6 Gaba,64,0.7126515218749999,0.109375
PAL,Lamp5 Gaba,91,1.9591740208791208,0.3516483516483517
PAL,MEA Slc17a7 Glut,97,0.8377769463917526,0.13402061855670103
PAL,MEA-BST Lhx6 Nfib Gaba,1007,0.14985465183714,0.025819265143992055
PAL,MEA-BST Lhx6 Nr2e1 Gaba,365,0.20513119315068493,0.038356164383561646
PAL,MEA-BST Lhx6 Sp9 Gaba,1088,0.11830987757352943,0.02297794117647059
PAL,MEA-BST Otp Zic2 Glut,222,0.43040968423423426,0.08108108108108109
PAL,MEA-BST Sox6 Gaba,896,0.17015809654017858,0.03125
PAL,MEA-COA-BMA Ccdc42 Glut,30,0.6041330333333333,0.13333333333333333
PAL,MPN-MPO-LPO Lhx6 Zfhx3 Gaba,399,0.24826419598997493,0.045112781954887216
PAL,MPN-MPO-PVpo Hmx2 Glut,85,0.18850042352941174,0.03529411764705882
PAL,MPO-ADP Lhx8 Gaba,1002,0.348661879740519,0.0658682634730539
PAL,MS-SF Bsx Glut,336,0.7053588592261905,0.13392857142857142
PAL,Microglia NN,2992,0.26122483051470585,0.03542780748663102
PAL,NDB-SI-MA-STRv Lhx8 Gaba,5327,0.6924372879857331,0.1347850572554909
PAL,NDB-SI-ant Prdm12 Gaba,985,0.6032203363451776,0.1065989847715736
PAL,OB Dopa-Gaba,69,0.20486767246376814,0.028985507246376812
PAL,OB Meis2 Thsd7b Gaba,48,0.14495282291666667,0.020833333333333332
PAL,OB-STR-CTX Inh IMN,36,0.16027280555555556,0.027777777777777776
PAL,OPC NN,6439,0.0782026417766734,0.011647771393073459
PAL,OT D3 Folh1 Gaba,4471,0.026523038380675466,0.0038022813688212928
PAL,Oligo NN,26596,0.010381750439915776,0.0016167844788690028
PAL,PAL-STR Gaba-Chol,784,0.33431688724489794,0.07397959183673469
PAL,PVH-SO-PVa Otp Glut,37,0.12952171891891892,0.02702702702702703
PAL,PVR Six3 Sox3 Gaba,605,0.38020207702479336,0.07107438016528926
PAL,PVpo-VMPO-MPN Hmx2 Gaba,184,0.7902121668478261,0.1358695652173913
PAL,Peri NN,535,1.4851721611214954,0.18504672897196262
PAL,RT-ZI Gnb3 Gaba,436,0.239869579587156,0.0481651376146789
PAL,SI-MA-ACB Ebf1 Bnc2 Gaba,1164,1.0036246371993127,0.18213058419243985
PAL,SI-MA-LPO-LHA Skor1 Glut,3353,1.014890640650164,0.18490903668356695
PAL,SI-MPO-LPO Lhx8 Gaba,1071,0.34887263454715217,0.06909430438842204
PAL,SMC NN,450,0.01587006577777778,0.0022222222222222222
PAL,SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,35,0.16474814285714287,0.02857142857142857
PAL,STN-PSTN Pitx2 Glut,23,1.4709369478260872,0.30434782608695654
PAL,STR D1 Gaba,5851,0.032171384720560595,0.005981883438728423
PAL,STR D1 Sema5a Gaba,3109,0.01732024728208427,0.002894821486008363
PAL,STR D2 Gaba,4970,0.08081968909456741,0.015492957746478873
PAL,STR Lhx8 Gaba,684,0.06396747339181287,0.011695906432748537
PAL,STR Prox1 Lhx6 Gaba,219,0.10138316392694065,0.0182648401826484
PAL,STR-PAL Chst9 Gaba,4603,0.24799645713665003,0.03801868346730393
PAL,Sst Chodl Gaba,960,0.4353362053125,0.08020833333333334
PAL,Sst Gaba,49,0.3109809693877551,0.061224489795918366
PAL,TRS-BAC Sln Glut,602,2.0378228514950165,0.33222591362126247
PAL,Tanycyte NN,92,0.0,0.0
PAL,VLMC NN,173,4.090017721387283,0.5260115606936416
PAL,Vip Gaba,152,0.0,0.0
PAL,ZI Pax6 Gaba,108,0.8705115694444444,0.1574074074074074
